"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","celebrities","microphone","protest","font","sky","photograph","community","street","style","orange","sleeve"
"2","nose","audioequipment","banner","gesture","motorvehicle","product","group","road","facialexpression","fire","electricblue"
"3","clothing","electronicdevice","publicevent","sign","car","white","standing","city","eyelash","purple","cool"
"4","skin","publicspeaking","cap","finger","modeoftransport","fun","socialgroup","building","jaw","light","world"
"5","dressshirt","sport","flag","thumb","property","blue","interaction","lawenforcement","blackhair","magenta","logo"
"6","posing","blazer","headgear","advertising","transport","yellow","arm","urbanarea","woman","amber","graphics"
"7","eyewear","jersey","hat","wrist","automotiveexterior","event","mammal","police","jewellery","gas","symbol"
"8","glasses","player","sign","line","building","black","joint","metropolitanarea","fashion","pollution","costume"
"9","coat","technology","sky","red","vehicle","brown","leg","pedestrian","temple","heat","streetfashion"
"10","visioncare","tie","human","graphicaluserinterface","grass","snapshot","humanbody","infrastructure","wall","smoke","photocaption"
